pair,facility,tmc_code,length_mi,weekdays,mean_T_min,T95_min,TTI,PTI95,gamma95,buffer_index
I-395 NB AM,GP,110P04123,0.5973341666666667,23,1.0956884057971015,1.438222222222222,1.8342972274822742,2.4077347362331616,1.312619732592617,0.312619732592617
I-395 NB AM,GP,110P04124,0.7041266666666667,23,1.0645169082125603,1.293,1.5622200624219778,1.8975279069106885,1.2146354745751176,0.21463547457511756
I-395 NB AM,GP,110P04125,0.6006633333333333,23,0.7277536231884058,1.0855555555555554,1.251969340498037,1.8675032726165082,1.4916525606558464,0.4916525606558464
I-395 NB AM,GP,110P04126,0.4026666666666667,23,0.5298550724637681,0.6955,1.2720030713120258,1.6696605960264899,1.3126230853391687,0.3126230853391687
I-395 NB AM,GP,110P04127,0.9467566666666668,23,1.1175362318840578,1.371111111111111,1.1410376733422412,1.3999451538840395,1.2269052868196948,0.2269052868196948
I-395 NB AM,GP,110P04128,0.19844,23,0.5885628019323671,1.0459166666666664,2.5704886196065213,4.567935452081792,1.7770689266000448,0.7770689266000448
I-395 NB AM,ML,110P04298,1.0343333333333333,23,1.0246739130434783,1.089,1.023683251832028,1.0879471479213665,1.0627771295215869,0.06277712952158687
I-395 NB AM,ML,110P04299,0.295,23,0.32124396135265704,0.3367777777777778,1.1071119572040722,1.160646578782172,1.048355201323358,0.04835520132335791
I-395 NB AM,ML,110P04301,0.22761166666666666,23,0.35445652173913045,0.7036944444444442,1.375602865419458,2.7309529795305996,1.9852771815053316,0.9852771815053316
I-395 NB AM,ML,110P04651,0.6346666666666667,23,0.5525000000000001,0.5751666666666666,1.0011160714285716,1.0421874999999998,1.0410256410256407,0.04102564102564066
I-395 NB AM,ML,110P04652,0.527,23,0.4483091787439613,0.46361111111111114,0.9924618125261635,1.0263370581207394,1.0341325431034485,0.03413254310344849
I-395 NB AM,ML,110P04653,0.7116666666666666,23,0.6072101449275362,0.6202222222222222,1.0096468451956693,1.03128285193859,1.0214292817789448,0.021429281778944764
I-395 NB AM,ML,110P04654,0.6033333333333334,23,0.5209420289855072,0.5350833333333332,1.0217371286732322,1.049472836095764,1.0271456391709555,0.02714563917095547
I-395 NB AM,ML,110P04655,0.6669999999999999,23,0.5639130434782609,0.5732777777777778,1.0145362101557918,1.031384307846077,1.0166066992204232,0.016606699220423238
I-395 NB AM,ML,110P04656,0.57,23,0.48631642512077294,0.4967777777777777,0.9953844958612312,1.016796621182586,1.0215114113293762,0.021511411329376173
I-395 NB AM,ML,110P04657,0.5693333333333332,23,0.49620772946859903,0.5143055555555556,0.9877671429702793,1.0237932604735887,1.0364722776614905,0.036472277661490526
I-395 NB AM,GP,110P04670,0.3177900000000001,23,0.6630555555555556,0.9860555555555556,1.912586695383511,2.84428163019371,1.487138667783829,0.48713866778382897
I-395 NB AM,ML,110P16046,0.60294,23,0.5118478260869564,0.5216666666666667,1.018704002561362,1.038245928284738,1.0191831245133436,0.019183124513343586
